payment_id,order_id,Payment_date,Payment_method
68692r,78125k,5/14/2023,debit_card
79445r,01745r,12/19/2023,credit_card
21810h,38172t,07-02-2023,debit_card
96299z,10546c,08-01-2023,apple_pay
24789b,45231f,08-10-2023,paypal
21063h,44654e,10-02-2023,debit_card
58730g,58168x,12/31/2023,credit_card
62539g,96884o,10-01-2023,paypal
41516y,49090t,2/14/2024,debit_card
90095y,28715b,7/15/2023,credit_card
67751h,23321h,11-05-2023,debit_card
56506a,73131u,2/18/2024,debit_card
32550m,99404k,9/14/2023,credit_card
53494n,36903g,04-10-2023,venmo
12952p,70158h,05-10-2023,debit_card
37012b,93424q,7/16/2023,debit_card
20915m,50440n,10/17/2023,paypal
87686f,75701c,12-05-2023,venmo
06578a,92555r,06-09-2023,paypal
20520m,83006z,2/19/2024,credit_card
59596h,25478z,07-01-2023,credit_card
60408v,80464c,2/28/2024,venmo
77145g,75579i,7/19/2023,debit_card
02873h,98883s,2/26/2024,credit_card
21574s,50122m,7/28/2023,debit_card
45854j,35003s,3/25/2023,venmo
23766n,16277a,11-09-2023,venmo
39673u,50955y,6/21/2023,apple_pay
41950e,69580u,4/20/2023,debit_card
92357j,78933y,5/15/2023,apple_pay
00236j,67598e,09-09-2023,credit_card
00207z,72777q,12/19/2023,apple_pay
47371p,82217q,1/30/2024,venmo
91956q,55273d,7/24/2023,paypal
59724r,39094j,10/17/2023,venmo
64411a,78282f,5/22/2023,paypal
47908q,96577c,11/16/2023,debit_card
34384e,11413r,8/18/2023,apple_pay
09169l,26622p,07-01-2023,venmo
32965m,03135w,12/31/2023,venmo
69247g,55529g,08-06-2023,venmo
85541p,92100k,5/13/2023,venmo
37994c,64830c,08-07-2023,paypal
80020w,38287y,3/19/2023,venmo
62674m,07178p,02-01-2024,credit_card
45881m,79817q,8/16/2023,debit_card
24142c,10775u,11-12-2023,credit_card
01599u,30874w,02-09-2024,venmo
07321v,61286i,11/13/2023,apple_pay
60240i,24084v,9/13/2023,credit_card
64291a,11390p,02-12-2024,credit_card
34779k,39575y,06-12-2023,paypal
12037a,87331n,2/26/2024,credit_card
61800v,96876j,11-01-2023,apple_pay
56612s,68300n,02-04-2024,apple_pay
16737z,45165s,04-05-2023,apple_pay
05027z,64548q,02-05-2024,paypal
63963a,12504k,8/13/2023,paypal
20797x,96301m,11/27/2023,apple_pay
88810r,73847g,07-07-2023,venmo
35455q,51361l,5/16/2023,debit_card
71899n,43683h,2/23/2024,apple_pay
47565u,84904v,11/20/2023,paypal
07677h,24996d,09-05-2023,apple_pay
55747u,42675u,10/14/2023,credit_card
00980x,90915q,5/15/2023,credit_card
20628b,25392z,2/20/2024,credit_card
61956w,66102x,3/31/2023,debit_card
35273h,19881c,02-08-2024,apple_pay
32836r,91819t,04-07-2023,paypal
86215d,18666x,5/30/2023,credit_card
55089f,20614s,9/16/2023,apple_pay
25969u,86780p,01-06-2024,credit_card
22322k,61469e,9/25/2023,debit_card
21823u,68912w,11/20/2023,paypal
68587m,39048r,3/31/2023,paypal
80268a,45556p,10/14/2023,paypal
88695d,98881i,08-08-2023,apple_pay
06719p,27218d,03-09-2023,apple_pay
93342q,31967k,08-12-2023,debit_card
43105k,94183e,7/23/2023,paypal
21117r,10005g,1/31/2024,venmo
75430o,40081t,05-12-2023,debit_card
62742j,98285a,12-01-2023,paypal
99257b,36847l,10-06-2023,debit_card
90200g,00011m,7/27/2023,venmo
72550v,95895j,2/19/2024,debit_card
82687r,91587m,04-05-2023,paypal
32652v,38240k,4/21/2023,venmo
04742w,00612c,1/25/2024,paypal
66239w,42949a,8/22/2023,apple_pay
89258d,27538h,6/27/2023,paypal
93050c,39818v,7/21/2023,debit_card
18930o,51918j,1/29/2024,debit_card
07515f,20420b,05-08-2023,credit_card
95226p,48906c,11/17/2023,paypal
45115o,70591k,1/13/2024,debit_card
55904c,32979r,5/24/2023,debit_card
42803z,39714q,10/14/2023,venmo
07163t,40063f,10-03-2023,paypal
23147f,71607u,09-10-2023,debit_card
67800b,27016z,12-03-2023,apple_pay
18848q,51360x,12-02-2023,apple_pay
50116o,73104i,5/28/2023,apple_pay
43436u,63069q,03-01-2024,debit_card
05727m,14098f,08-03-2023,paypal
84191s,44478k,8/13/2023,debit_card
70749i,42152e,10-04-2023,debit_card
12180w,77575n,9/28/2023,venmo
64861l,75305p,12-02-2023,credit_card
93012d,47794r,12-01-2023,debit_card
50440q,54685l,05-10-2023,debit_card
71542f,28183c,01-09-2024,credit_card
92057i,98154a,12/27/2023,apple_pay
12995p,07320n,1/20/2024,venmo
38172y,69379y,08-09-2023,paypal
51234h,66975g,10-02-2023,venmo
90306m,49186y,05-05-2023,venmo
53081g,25442j,11-06-2023,credit_card
90043j,83533j,5/15/2023,credit_card
63193m,66512i,05-09-2023,venmo
31751o,19282s,5/28/2023,apple_pay
43212p,95795c,08-10-2023,paypal
11574i,55495f,12-08-2023,paypal
86765m,05059y,1/15/2024,paypal
51920j,31263p,1/20/2024,paypal
43472d,26878x,6/21/2023,debit_card
31459x,19512z,4/13/2023,credit_card
22659u,90987n,4/27/2023,debit_card
21421t,59994t,01-08-2024,debit_card
02174z,24460p,4/14/2023,paypal
69017i,81524t,05-04-2023,debit_card
55365f,54912p,10-02-2023,apple_pay
49363r,34467n,12/14/2023,debit_card
13964f,24877g,08-02-2023,credit_card
19061c,58743z,6/15/2023,apple_pay
67884j,92217a,02-11-2024,paypal
62468x,88753s,08-03-2023,paypal
08634g,52713l,3/23/2023,credit_card
58469r,32698f,2/25/2024,debit_card
16377g,03006e,11/26/2023,debit_card
60970p,03762u,8/26/2023,apple_pay
91044j,05008h,09-03-2023,venmo
84278m,03842p,07-03-2023,venmo
56473h,70011c,9/30/2023,apple_pay
89385z,24947v,6/20/2023,credit_card
76000n,02521w,11/24/2023,debit_card
39123b,95777x,1/26/2024,credit_card
54773z,69202z,4/24/2023,venmo
14822a,49838p,3/31/2023,apple_pay
