settlement_id,sale_id,settlement_date,settlement_type
39083w,22797u,6/14/2023,cash
11615b,73031o,07-03-2023,cheque
80706e,98002j,5/16/2023,bank transfer
65745q,87441k,11-11-2023,bank transfer
31685c,94413z,08-09-2023,cheque
39703j,96651u,10/20/2023,cheque
94123k,01477a,8/28/2023,bank transfer
64080c,71006c,09-09-2023,bank draft
03890y,74513z,2/25/2024,bank transfer
45987m,61496s,09-05-2023,card
42639x,89601g,12-02-2023,cheque
23196e,17445p,5/20/2023,bank transfer
73201s,37190g,5/31/2023,card
86149b,10289f,8/13/2023,cheque
91759x,88790n,12/28/2023,cheque
65871v,35650v,03-02-2024,card
07792f,03477a,04-04-2023,bank transfer
77598d,00970o,02-10-2024,cheque
83847j,10824u,12/20/2023,card
99224h,25868o,12-10-2023,bank transfer
98754x,28751v,4/13/2023,cheque
49081r,89041q,2/17/2024,cheque
86902s,92159q,01-09-2024,bank draft
63136t,02768g,6/17/2023,cash
21172v,31941q,04-02-2023,bank draft
62108w,21336i,12/16/2023,cash
54702l,40499j,5/16/2023,cash
63635x,13730m,12/26/2023,bank draft
50097t,48549g,3/14/2023,bank transfer
08467j,88298m,03-03-2024,card
03362i,34004y,12/24/2023,cheque
01697x,87975x,6/16/2023,cheque
19636t,94732p,3/18/2023,card
10650j,77598o,3/13/2023,card
09926s,36159n,3/29/2023,bank transfer
69887c,98297v,03-11-2023,bank transfer
30334o,88281y,9/16/2023,card
94163a,49725s,06-05-2023,bank transfer
91461s,95391j,4/23/2023,card
62128o,11301y,7/25/2023,cash
81321l,69906z,8/16/2023,card
59648w,49605h,08-08-2023,bank draft
80178c,01565z,09-01-2023,cheque
82266v,16633g,12/13/2023,cash
75583k,37298m,8/17/2023,bank draft
40507e,62813l,10-01-2023,cheque
65457g,96854z,5/18/2023,card
80415n,18505a,05-06-2023,cash
09935n,79319v,09-05-2023,card
19297a,51171a,05-06-2023,cash
68318j,29744j,10-02-2023,bank draft
11837j,05719w,04-03-2023,cash
43272g,11504p,9/18/2023,bank transfer
65018i,48964r,12/17/2023,cash
82738m,47910y,02-10-2024,cheque
29251x,48120v,3/21/2023,bank transfer
03506u,01606v,12/16/2023,cash
51702w,77925q,4/28/2023,card
22121u,12605j,10/15/2023,card
06903t,97155s,06-05-2023,cheque
16353l,56380x,5/16/2023,cheque
24202i,90936b,3/23/2023,cash
21149t,25707a,3/23/2023,bank transfer
50301g,21162j,10/29/2023,bank transfer
39111q,42497w,5/28/2023,bank draft
30846s,12743r,5/31/2023,cash
58579s,85883h,5/31/2023,bank transfer
72817z,32829s,11/29/2023,cash
64574p,90017b,06-06-2023,card
19657m,52693b,05-07-2023,cash
21880p,82857u,2/21/2024,card
98760u,16044o,8/30/2023,cheque
67424b,85301j,1/25/2024,cheque
73139c,79258d,04-01-2023,card
37287t,76348q,6/28/2023,bank transfer
03174k,00039u,8/26/2023,cash
50904y,76882f,05-01-2023,cheque
63074w,48065l,4/27/2023,cash
72211p,14053p,7/19/2023,bank draft
54329l,50128y,9/13/2023,cheque
28474b,42253q,06-03-2023,bank transfer
59132i,61237h,6/29/2023,bank draft
08035k,00946e,01-11-2024,card
09608i,56073f,03-07-2024,bank draft
89337j,88021x,6/13/2023,cheque
16004n,86232d,9/17/2023,cash
39423y,63385u,8/21/2023,card
88084w,78761a,5/17/2023,bank draft
27676g,60568s,5/30/2023,cash
72804m,00526u,1/17/2024,bank draft
58044a,21696a,04-11-2023,cash
24899t,11036h,02-01-2024,cash
44772m,43299t,07-02-2023,cheque
94036o,84782k,4/23/2023,cheque
86387m,66595g,09-03-2023,bank draft
56867r,26696s,4/13/2023,cheque
92005u,92162o,7/20/2023,bank transfer
14320a,92385f,3/30/2023,bank transfer
10077u,98776v,09-05-2023,cash
77069m,86604h,02-12-2024,bank transfer
12977f,87718z,12/18/2023,bank transfer
62461g,89944j,11-11-2023,cash
78814m,39567q,03-07-2024,card
35238p,11305n,5/29/2023,bank draft
65412n,85855x,04-01-2023,cheque
64419r,03235o,08-03-2023,bank transfer
90326j,09787k,8/13/2023,bank draft
86973e,90315g,12/23/2023,bank transfer
98839a,47293o,3/18/2023,card
92074h,19556u,8/26/2023,bank transfer
99552b,08627b,01-01-2024,bank transfer
63882z,84492n,1/14/2024,bank draft
85644z,40666x,6/23/2023,cash
68475u,98899e,2/27/2024,cheque
11009n,83539w,7/24/2023,cheque
75439y,85657s,4/22/2023,card
45834f,15495b,9/22/2023,cheque
17049c,34509g,6/14/2023,cash
39840e,93946t,5/31/2023,card
33704k,01001o,7/31/2023,cash
